id,name,category
1,Huberman Lab,Personal Development
2,Planet Normal,Curious
3,What The H�ll Is Economics?,Curious
4,Diary Of A CEO,Personal Development
5,Tailenders,Sport
6,Wired,Curious
7,Rob Beckett & Josh Widdicombe's Parenting Hell,Lifestyle
8,Planet Money,Lifestyle
9,That Peter Crouch Podcast,Sport
10,Lex Fridman Podcast,Personal Development
11,Lex Fridman Podcast,AI
12,Behind The Money,Finance
13,Foresight with Greg Williams,Sustainability
14,ZOE Science & Nutrition,Personal Development
15,Catalyst with Shayle Kann,Sustainability
16,Modern Wisdom,Lifestyle
17,The High Performance Podcast,Personal Development
18,DeepMind: The Podcast,AI
19,JaackMaate's Happy Hous,Lifestyle
20,From Our Neurons to Yours,Neuroscience
21,The World's Hardest Puzzle,Cryptography
22,The Rest Is Football,Sport
23,Lex Fridman Podcast,Politics
24,Building Remotely,
25,Life Done Differently,
26,What's Your Problem?,
27,The Upshot,Sport
28,History's Greatest Cities